order, degree_x, degree_y, coefficient, term
10, 5, 5, 1 / 20160, "[X, [[X, Y], [[X, Y], [[X, Y], [[X, Y], Y]]]]]"
10, 4, 6, -1 / 15120, "[X, [[X, Y], [[X, Y], [[[[X, Y], Y], Y], Y]]]]"
10, 4, 6, -1 / 30240, "[X, [[X, Y], [[[X, Y], Y], [[[X, Y], Y], Y]]]]"
10, 4, 6, 1 / 30240, "[X, [[[X, Y], [[[X, Y], Y], Y]], [[X, Y], Y]]]"
10, 3, 7, 1 / 86400, "[X, [[X, Y], [[[[[[X, Y], Y], Y], Y], Y], Y]]]"
10, 3, 7, 1 / 67200, "[X, [[[X, Y], Y], [[[[[X, Y], Y], Y], Y], Y]]]"
10, 3, 7, 1 / 120960, "[X, [[[[X, Y], Y], Y], [[[[X, Y], Y], Y], Y]]]"
10, 2, 8, -1 / 2419200, "[X, [[[[[[[[X, Y], Y], Y], Y], Y], Y], Y], Y]]"
11, 10, 1, 1 / 47900160, "[X, [X, [X, [X, [X, [X, [X, [X, [X, [X, Y]]]]]]]]]]"
11, 9, 2, -1 / 4790016, "[X, [X, [X, [X, [X, [X, [X, [X, [[X, Y], Y]]]]]]]]]"
11, 9, 2, 5 / 9580032, "[X, [X, [X, [X, [X, [X, [[X, [X, Y]], [X, Y]]]]]]]]"
11, 8, 3, 1 / 1247400, "[X, [X, [X, [X, [X, [X, [X, [[[X, Y], Y], Y]]]]]]]]"
11, 9, 2, -31 / 79833600, "[X, [X, [X, [X, [[X, [X, [X, Y]]], [X, [X, Y]]]]]]]"
11, 8, 3, 1 / 2217600, "[X, [X, [X, [X, [X, [X, [[X, Y], [[X, Y], Y]]]]]]]]"
11, 8, 3, -1 / 332640, "[X, [X, [X, [X, [X, [[X, [[X, Y], Y]], [X, Y]]]]]]]"
11, 7, 4, -1 / 712800, "[X, [X, [X, [X, [X, [X, [[[[X, Y], Y], Y], Y]]]]]]]"
11, 9, 2, -17 / 119750400, "[X, [X, [[X, [X, [X, [X, Y]]]], [X, [X, [X, Y]]]]]]"
11, 8, 3, -1 / 492800, "[X, [X, [X, [X, [[X, [X, Y]], [X, [[X, Y], Y]]]]]]]"
11, 8, 3, 1 / 2217600, "[X, [X, [X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]]]]"
11, 7, 4, -1 / 316800, "[X, [X, [X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]]]]"
11, 8, 3, -1 / 1663200, "[X, [X, [X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]]]]"
11, 7, 4, -1 / 1900800, "[X, [X, [X, [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]]]]"
11, 7, 4, 1 / 475200, "[X, [X, [X, [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]]]]"
11, 6, 5, 1 / 1247400, "[X, [X, [X, [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]]]"
11, 9, 2, 1 / 9580032, "[[X, [X, [X, [X, [X, Y]]]]], [X, [X, [X, [X, Y]]]]]"
11, 8, 3, -1 / 3326400, "[X, [X, [[X, [X, [X, Y]]], [X, [X, [[X, Y], Y]]]]]]"
11, 8, 3, 1 / 1108800, "[X, [X, [X, [[X, [X, Y]], [[X, [X, Y]], [X, Y]]]]]]"
11, 7, 4, 1 / 3326400, "[X, [X, [X, [[X, [X, Y]], [X, [[[X, Y], Y], Y]]]]]]"
11, 8, 3, 19 / 3326400, "[X, [X, [[X, [[X, [X, Y]], [X, Y]]], [X, [X, Y]]]]]"
11, 7, 4, -1 / 1663200, "[X, [X, [X, [X, [[X, Y], [[X, Y], [[X, Y], Y]]]]]]]"
11, 7, 4, 13 / 1663200, "[X, [X, [X, [[X, [[X, Y], [[X, Y], Y]]], [X, Y]]]]]"
11, 6, 5, 23 / 7983360, "[X, [X, [X, [X, [[X, Y], [[[[X, Y], Y], Y], Y]]]]]]"
11, 8, 3, 1 / 554400, "[X, [[X, [X, [X, [[X, Y], Y]]]], [X, [X, [X, Y]]]]]"
11, 7, 4, 1 / 369600, "[X, [X, [[X, [X, [[X, Y], Y]]], [X, [[X, Y], Y]]]]]"
11, 7, 4, 7 / 475200, "[X, [X, [X, [[[X, [[X, Y], Y]], [X, Y]], [X, Y]]]]]"
11, 6, 5, 97 / 19958400, "[X, [X, [X, [X, [[[X, Y], Y], [[[X, Y], Y], Y]]]]]]"
11, 7, 4, 1 / 158400, "[X, [X, [[X, [X, [[[X, Y], Y], Y]]], [X, [X, Y]]]]]"
11, 6, 5, 23 / 1995840, "[X, [X, [X, [[X, [[[X, Y], Y], Y]], [[X, Y], Y]]]]]"
11, 6, 5, 1 / 124740, "[X, [X, [X, [[X, [[[[X, Y], Y], Y], Y]], [X, Y]]]]]"
11, 5, 6, 1 / 1247400, "[X, [X, [X, [X, [[[[[[X, Y], Y], Y], Y], Y], Y]]]]]"
11, 8, 3, 1 / 1064448, "[[X, [X, [X, [X, Y]]]], [X, [X, [X, [[X, Y], Y]]]]]"
11, 8, 3, 37 / 13305600, "[X, [[X, [X, [X, Y]]], [X, [[X, [X, Y]], [X, Y]]]]]"
11, 7, 4, 101 / 19958400, "[X, [[X, [X, [X, Y]]], [X, [X, [[[X, Y], Y], Y]]]]]"
11, 8, 3, -31 / 13305600, "[X, [[[X, [X, [X, Y]]], [X, [X, Y]]], [X, [X, Y]]]]"
11, 7, 4, 1 / 369600, "[X, [X, [[X, [X, Y]], [X, [[X, Y], [[X, Y], Y]]]]]]"
11, 7, 4, 61 / 3326400, "[X, [X, [[X, [X, Y]], [[X, [[X, Y], Y]], [X, Y]]]]]"
11, 6, 5, 41 / 5322240, "[X, [X, [[X, [X, Y]], [X, [[[[X, Y], Y], Y], Y]]]]]"
11, 8, 3, -23 / 13305600, "[[X, [X, [[X, [X, Y]], [X, Y]]]], [X, [X, [X, Y]]]]"
11, 7, 4, 1 / 739200, "[X, [X, [[[X, [X, Y]], [X, Y]], [X, [[X, Y], Y]]]]]"
11, 7, 4, -1 / 118800, "[X, [X, [[[[X, [X, Y]], [X, Y]], [X, Y]], [X, Y]]]]"
11, 6, 5, -1 / 19958400, "[X, [X, [X, [[X, Y], [[X, Y], [[[X, Y], Y], Y]]]]]]"
11, 7, 4, -1 / 6652800, "[X, [[X, [X, [[X, Y], [[X, Y], Y]]]], [X, [X, Y]]]]"
11, 6, 5, 61 / 13305600, "[X, [X, [X, [[[X, Y], [[X, Y], Y]], [[X, Y], Y]]]]]"
11, 6, 5, 61 / 6652800, "[X, [X, [[X, [[X, Y], [[[X, Y], Y], Y]]], [X, Y]]]]"
11, 5, 6, 7 / 1900800, "[X, [X, [X, [[X, Y], [[[[[X, Y], Y], Y], Y], Y]]]]]"
11, 7, 4, 13 / 13305600, "[[X, [X, [X, [[X, Y], Y]]]], [X, [X, [[X, Y], Y]]]]"
11, 7, 4, -41 / 6652800, "[X, [[X, [X, [[X, Y], Y]]], [[X, [X, Y]], [X, Y]]]]"
11, 6, 5, 73 / 13305600, "[X, [X, [[X, [[X, Y], Y]], [X, [[[X, Y], Y], Y]]]]]"
11, 7, 4, -103 / 3326400, "[X, [[X, [[X, [[X, Y], Y]], [X, Y]]], [X, [X, Y]]]]"
11, 6, 5, -137 / 13305600, "[X, [X, [[X, [[X, Y], Y]], [[X, Y], [[X, Y], Y]]]]]"
11, 6, 5, -493 / 13305600, "[X, [X, [[[X, [[X, Y], Y]], [[X, Y], Y]], [X, Y]]]]"
11, 5, 6, 17 / 5322240, "[X, [X, [X, [[[X, Y], Y], [[[[X, Y], Y], Y], Y]]]]]"
11, 7, 4, -1 / 399168, "[[X, [X, [X, [[[X, Y], Y], Y]]]], [X, [X, [X, Y]]]]"
11, 6, 5, -1 / 665280, "[X, [[X, [X, [[[X, Y], Y], Y]]], [X, [[X, Y], Y]]]]"
11, 6, 5, -277 / 6652800, "[X, [X, [[[X, [[[X, Y], Y], Y]], [X, Y]], [X, Y]]]]"
11, 5, 6, -31 / 3991680, "[X, [X, [[X, [[[X, Y], Y], Y]], [[[X, Y], Y], Y]]]]"
11, 6, 5, -1 / 83160, "[X, [[X, [X, [[[[X, Y], Y], Y], Y]]], [X, [X, Y]]]]"
11, 5, 6, -47 / 2661120, "[X, [X, [[X, [[[[X, Y], Y], Y], Y]], [[X, Y], Y]]]]"
11, 5, 6, -37 / 2217600, "[X, [X, [[X, [[[[[X, Y], Y], Y], Y], Y]], [X, Y]]]]"
11, 4, 7, -1 / 712800, "[X, [X, [X, [[[[[[[X, Y], Y], Y], Y], Y], Y], Y]]]]"
11, 8, 3, -1 / 887040, "[[X, [X, [X, Y]]], [[X, [X, [X, Y]]], [X, [X, Y]]]]"
11, 7, 4, 1 / 831600, "[[X, [X, [X, Y]]], [X, [X, [[X, Y], [[X, Y], Y]]]]]"
11, 7, 4, -17 / 1663200, "[[X, [X, [X, Y]]], [X, [[X, [[X, Y], Y]], [X, Y]]]]"
11, 6, 5, -1 / 228096, "[[X, [X, [X, Y]]], [X, [X, [[[[X, Y], Y], Y], Y]]]]"
11, 7, 4, 1 / 103950, "[X, [[X, [X, Y]], [[X, [X, Y]], [X, [[X, Y], Y]]]]]"
11, 7, 4, -1 / 73920, "[X, [[X, [X, Y]], [[[X, [X, Y]], [X, Y]], [X, Y]]]]"
11, 6, 5, 131 / 9979200, "[X, [[X, [X, Y]], [X, [[X, Y], [[[X, Y], Y], Y]]]]]"
11, 7, 4, -1 / 184800, "[[X, [[X, [X, Y]], [X, [[X, Y], Y]]]], [X, [X, Y]]]"
11, 6, 5, -1 / 52800, "[X, [[X, [X, Y]], [[X, [[X, Y], Y]], [[X, Y], Y]]]]"
